"storm_id","lab_id","num_subsamples","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","instant_discharge","storm_type","Suspended Sediment (80154), mg/L","Flag_Suspended Sediment","Suspended Sediment Load, pounds","Chloride (00940), mg/L","Flag_Chloride","Chloride Load, pounds","NO2+NO3(N) (00631), mg/L","Flag_NO2+NO3(N)","NO2+NO3(N) Load, pounds","Ammonium (N) (00608), mg/L","Flag_Ammonium (N)","Ammonium (N) Load, pounds","TKN Unfiltered (00625), mg/L","Flag_TKN Unfiltered","TKN Unfiltered Load, pounds","Dissolved Reactive Phosphorus (00672), mg/L","Flag_Dissolved Reactive Phosphorus ","Dissolved Reactive Phosphorus Load, pounds","TP Unfiltered (00665), mg/L","Flag_TP Unfiltered","TP Unfiltered Load, pounds","Total Nitrogen, computed, mg/L","Total Nitrogen Load, in pounds","Organic Nitrogen, computed, mg/L","Organic Nitrogen Load, pounds","frozen","site","water_year","estimated","discrete","comments"
"ESW1-46",NA,NA,"42141.7069444444","42141.75","42141.7041666667","42141.7604166667","0.8292","630.72",NA,NA,"17200",NA,"677.245528","27.1",NA,"1.067055454","3.8",NA,"0.149624012","3.47",NA,"0.1366303478","54",NA,"2.12623596","1.7",NA,"0.066937058","19.4",NA,"0.763869956","57.8","2.275859972","50.53","1.9896056122",FALSE,"SW1","WY15",FALSE,FALSE,NA
"ESW1-47",NA,NA,"42148.7833333333","42149.125","42148.78125","42149.3333333333","0.6542","2617.92",NA,NA,"3760",NA,"614.5048464","25.8",NA,"4.216549212","8.8",NA,"1.438202832","1.06",NA,"0.1732380684","14",NA,"2.28804996","0.623",NA,"0.10181822322","4.53",NA,"0.7403475942","22.8","3.726252792","12.94","2.1148118916",FALSE,"SW1","WY15",FALSE,FALSE,NA
"ESW1-48",NA,NA,"42154.2305555556","42154.8125","42154.1666666667","42155.03125","0.2129","3231.36",NA,NA,"127",NA,"25.61947124","86.7",NA,"17.489828004","15",NA,"3.0259218","0.18",NA,"0.0363110616","4.2",NA,"0.847258104","0.694",NA,"0.13999931528","1.04",NA,"0.2097972448","19.2","3.873179904","4.02","0.8109470424",FALSE,"SW1","WY15",FALSE,FALSE,NA
NA,NA,NA,NA,NA,"42166.7409722222","42166.8333333333","0.0147","60.48",NA,NA,"92",NA,"0.34736072","85.4",NA,"0.322441364","25.1",NA,"0.094769066","0.25",NA,"0.000943915","3.5",NA,"0.01321481","0.703",NA,"0.00265428898","1.06",NA,"0.0040021996","28.6","0.107983876","3.25","0.012270895",FALSE,"SW1","WY15",TRUE,FALSE,NA
"ESW1-49",NA,NA,"42166.9375","42167.6770833333","42166.9354166667","42167.875","0.5442","8709.12",NA,NA,"92",NA,"50.01994368","85.4",NA,"46.431556416","25.1",NA,"13.646745504","0.25",NA,"0.13592376","3.5",NA,"1.90293264","0.703",NA,"0.38221761312","1.06",NA,"0.5763167424","28.6","15.549678144","3.25","1.76700888",FALSE,"SW1","WY15",FALSE,FALSE,NA
"ESW1-50",NA,NA,"42170.6576388889","42171.2916666667","42170.6569444444","42171.5416666667","1.66","13564.8",NA,NA,"1210",NA,"1024.660186","49.6",NA,"42.00259936","10.9",NA,"9.23040994","0.15",NA,"0.12702399","4.9",NA,"4.14945034","0.526",NA,"0.4454307916","1.7",NA,"1.43960522","15.8","13.37986028","4.75","4.02242635",FALSE,"SW1","WY15",FALSE,FALSE,"Komiskey, Matthew J.:
NRCS signed off on Waterway completion"
NA,NA,NA,NA,NA,"42254.2652777778","42254.3125","0.0052","8.64",NA,NA,"513",NA,"0.27670194","3.3",NA,"0.001779954","<0.1",NA,"2.6969e-05","0.11",NA,"5.93318e-05","2.3",NA,"0.001240574","0.605",NA,"0.0003263249","1.22",NA,"0.0006580436","2.35","0.001267543","2.19","0.0011812422",FALSE,"SW1","WY15",TRUE,FALSE,NA
"ESW1-51",NA,NA,"42255.3798611111","42255.5416666667","42255.3708333333","42255.5416666667","0.2262","527.04",NA,NA,"513",NA,"16.87881834","3.3",NA,"0.108577194","<0.1",NA,"0.001645109","0.11",NA,"0.0036192398","2.3",NA,"0.075675014","0.605",NA,"0.0199058189","1.22",NA,"0.0401406596","2.35","0.077320123","2.19","0.0720557742",FALSE,"SW1","WY15",FALSE,FALSE,NA
"ESW1-52",NA,NA,"42266.0395833333","42266.21875","42266.0395833333","42266.21875","0.2416","1019.52",NA,NA,"222",NA,"14.12959848","7.7",NA,"0.490080668","0.8",NA,"0.050917472","0.09",NA,"0.0057282156","1.83",NA,"0.1164737172","0.733",NA,"0.04665313372","1.12",NA,"0.0712844608","2.63","0.1673911892","1.74","0.1107455016",FALSE,"SW1","WY15",FALSE,FALSE,NA
NA,NA,NA,NA,NA,"42275.925","42275.96875","0.0319","60.48",NA,NA,"222",NA,"0.83819652","7.7",NA,"0.029072582","0.8",NA,"0.003020528","0.09",NA,"0.0003398094","1.83",NA,"0.0069094578","0.733",NA,"0.00276755878","1.12",NA,"0.0042287392","2.63","0.0099299858","1.74","0.0065696484",FALSE,"SW1","WY15",TRUE,FALSE,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"SW1","WY15",TRUE,FALSE,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0",NA,NA,"0","0","0","0","0",NA,"SW1","WY15",TRUE,FALSE,NA
