"con_storm_start","con_storm_end","con_TP_load","trt_storm_start","trt_storm_end","trt_TP_load","bmp","period","veggieTime","eventId","con_SS_load","trt_SS_load"
2015-11-26 15:00:00,"11/28/2015 6:45",258.12656,2015-11-26 15:45:00,"11/28/2015 14:15",133.48042,1,"treatment",0,53,20.882149,34.425635
2015-11-30 22:45:00,"12/2/2015 23:40",227.76675,2015-11-30 22:15:00,"12/3/2015 10:20",228.07177,1,"treatment",0,54,17.837563,96.49662
2015-12-13 07:30:00,"12/15/2015 15:50",1134.74745,2015-12-13 05:15:00,"12/15/2015 8:00",1111.4264,1,"treatment",0,55,147.830297,534.977216
2016-02-19 11:45:00,"2/21/2016 6:30",490.2945,2016-02-19 10:35:00,"2/21/2016 7:10",352.49909,1,"treatment",0,56,60.921934,70.738603
2016-03-06 13:50:00,"3/9/2016 2:30",140.34791,2016-03-06 12:10:00,"3/9/2016 3:50",285.37178,1,"treatment",0,57,9.641312,61.914195
2016-03-15 23:45:00,"3/18/2016 2:41",231.17444,2016-03-15 23:50:00,"3/18/2016 14:25",236.96688,1,"treatment",0,58,36.335411,50.685315
2016-03-26 14:15:00,"3/29/2016 11:50",554.78203,2016-03-26 13:25:00,"3/29/2016 12:25",298.33158,1,"treatment",0,59,91.621662,90.180256
2016-03-30 21:30:00,"4/1/2016 2:50",899.8176,2016-03-30 21:00:00,"4/1/2016 13:55",370.43937,1,"treatment",0,60,263.789946,93.932369
2016-07-24 03:50:00,"7/25/2016 16:50",183.28917,2016-07-23 19:55:00,"7/26/2016 19:15",15.88222,1,"treatment",1,61,17.973816,1.621814
2016-09-21 05:15:00,"9/23/2016 17:50",87.51399,2016-09-21 04:50:00,"9/24/2016 15:25",65.91754,1,"treatment",1,62,6.418019,10.799905
2016-10-26 02:00:00,"10/28/2016 10:55",407,2016-10-26 02:30:00,"10/30/2016 1:15",334,1,"treatment",1,63,47,168
2017-03-26 06:00:00,"3/28/2017 2:00",104,2017-03-26 04:30:00,"3/27/2017 23:36",236,1,"treatment",0,64,4.9,28
2017-03-30 07:05:00,"4/1/2017 8:30",105,2017-03-30 03:22:00,"4/1/2017 20:45",201,1,"treatment",0,65,6.4,92
2017-04-03 16:45:00,"4/5/2017 15:15",84,2017-04-03 17:45:00,"4/5/2017 14:15",511,1,"treatment",0,66,5.2,271
2017-06-14 15:15:00,"6/16/2017 1:05",191,2017-06-14 15:15:00,"6/14/2017 23:45",15.6,1,"treatment",1,67,38,3.9
2017-06-22 04:00:00,"6/24/2017 16:15",189,2017-06-22 04:00:00,"6/24/2017 16:10",19.8,1,"treatment",1,68,19,6.4
2017-08-03 08:45:00,"8/4/2017 16:55",329,2017-08-03 11:15:00,"8/4/2017 6:25",457,1,"treatment",1,69,69,171
