"stormnum","StartDate","EndDate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy","erosivity_m1","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","site"
"SW1-39",2014-09-05 05:33:00,2014-09-05 06:57:00,0.577,1.4,0.412142857142857,3.456,2.166,1.588,0.848,0.487,545.898332044767,4.62921785573963,4.51795479458962,0.861,0.861,1.104,1.603,"SW1"
"SW1-4",2012-03-07 20:54:00,2012-03-07 22:55:00,0.261,2.01666666666667,0.129421487603306,0.756,0.486,0.432,0.342,0.207,164.174754334066,0.561477659822507,0.601583769317159,0.027,0.027,0.027,0.027,"SW1"
"SW1-40",2014-09-20 03:06:00,2014-09-20 05:59:00,0.64,2.88333333333333,0.221965317919075,1.8,1.68,1.408,0.83,0.487,518.847758033021,4.30643639167408,4.33200048973863,0,0,0.09,0.747,"SW1"
"SW1-41",2014-10-03 02:53:00,2014-10-03 08:05:00,0.350999999,5.2,0.0674999998076923,0.216000072,0.162000054,0.18000006,0.144000048,0.126000042,152.939763561361,0.220233332939446,0.274298056794132,0.144000001,0.324000004,0.467999992,1.566999992,"SW1"
"SW1-42",2014-10-13 16:34:00,2014-10-14 02:18:00,0.881999963,9.73333333333333,0.0906164345547945,0.863999724,0.539999898,0.432000028,0.288000038,0.224999988,498.755039551687,1.43641470343577,1.62187390324425,0.018,0.018,0.018,0.809999965,"SW1"
"SW1-43",2015-04-09 13:52:00,2015-04-09 15:15:00,0.234000019,1.38333333333333,0.169156640240964,0.324000108,0.324000108,0.288000096,0.269999972,0.198000007,132.201090951626,0.356942908553086,0.412754931918111,0.359999974,0.638999982,0.881999978,1.124999984,"SW1"
"SW1-44",2015-04-09 19:05:00,2015-04-09 20:43:00,0.189000007,1.63333333333333,0.11571429,0.324000108,0.269999736,0.216000076,0.197999952,0.126000045,96.3241272810494,0.190721725780897,0.226437005997135,0.593999993,0.873000001,1.115999997,1.359000003,"SW1"
"SW1-45",2015-04-10 01:05:00,2015-04-10 04:28:00,0.143999937,3.38333333333333,0.0425615577339901,0.432000168,0.324000126,0.216000084,0.143999818,0.090000035,66.8947668896634,0.0963283425726396,0.108582250614164,0.783,0.855000009,1.305000004,1.54800001,"SW1"
"SW1-46",2015-05-17 16:52:00,2015-05-17 17:03:00,0.446000022,0.183333333333333,2.43272739272727,4.35600024,2.622000132,1.784000088,0.892000044,0.446000022,470.600073450518,4.19775286224266,4.09137370119425,0,0.008999996,0.387000001,0.504000006,"SW1"
"SW1-47",2015-05-24 12:56:00,2015-05-25 01:12:00,1.363000056,12.2666666666667,0.111114135,0.996000876,0.71400018,0.512000132,0.395999918,0.317000041,905.071908336873,3.58408401485505,3.81526284449165,0,0,0.446000022,0.833000023,"SW1"
"SW1-48",2015-05-29 21:23:00,2015-05-30 12:43:00,0.773999982,15.3333333333333,0.0504782596956522,0.432000072,0.378000048,0.324000004,0.18000006,0.143999989,354.311960223002,0.637761740988579,0.751410112070207,0.035999999,0.035999999,1.651000012,2.097000034,"SW1"
